"ブランドID","ブランド名","制限"
"302","Royal Mocc(ロイヤルモック)",""
"303","FERRAGAMO(フェラガモ)",""
"304","Sass & Bide(サスアンドバイド)",""
"305","See by Chloe(シーバイクロエ)",""
"307","Sermoneta gloves(セルモネータグローブス)",""
"308","SISLEY(シスレー)",""
"309","STEFANEL(ステファネル)",""
"310","Stella McCartney(ステラマッカートニー)",""
"311","Steve Madden(スティーブマデン)",""
"312","STUSSY(ステューシー)",""
"313","Sweetees(スウィーティーズ)",""
"314","Target(ターゲット)",""
"315","TARINA TARANTINO(タリナタランティーノ)",""
"316","T-Bags(ティーバッグス)",""
"317","Theory(セオリー)",""
"318","THOMASWYLDE(トーマスワイルド)",""
"320","TOD'S(トッズ)",""
"321","TOGA(トーガ)",""
"322","Tory Burch(トリーバーチ)",""
"323","TRADITIONAL WEATHERWEAR(トラディショナルウェザーウェア)",""
"324","TRUE RELIGION(トゥルーレリジョン)",""
"325","KSUBI(スビ)",""
"326","tsumori chisato(ツモリチサト)",""
"327","TUMI(トゥミ)",""
"328","United Nude(ユナイテッドヌード)",""
"329","Urban Outfitters(アーバンアウトフィッターズ)",""
"330","VELETTO(ベレット)",""
"331","Via Repubblica(ヴィアリパブリカ)",""
"332","VICINI(ヴィッチーニ)",""
"333","Vince(ヴィンス)",""
"334","Vivienne Westwood(ヴィヴィアンウエストウッド)",""
"335","Volcom(ボルコム)",""
"336","Voom(ブーム)",""
"337","Warehouse(ウェアハウス)",""
"338","Wet Seal(ウェットシール)",""
"339","YANUK(ヤヌーク)",""
"340","YLANG YLANG(イランイラン)",""
"341","YUMI KIM(ユミキム)",""
"342","Saint Laurent(サンローラン)",""
"343","ZARA(ザラ)",""
"344","Twelve by Twelve(トゥエルブバイトゥエルブ)",""
"345","repetto(レペット)",""
