"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"250","25cm","3087","ブーツその他","レディースファッション/ブーツ"
"255","25.5cm","3087","ブーツその他","レディースファッション/ブーツ"
"260","26cm","3087","ブーツその他","レディースファッション/ブーツ"
"265","26.5cm","3087","ブーツその他","レディースファッション/ブーツ"
"270","27cm以上","3087","ブーツその他","レディースファッション/ブーツ"
"210","21cm以下","3088","フラットシューズ","レディースファッション/靴・シューズ"
"215","21.5cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"220","22cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"225","22.5cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"230","23cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"235","23.5cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"240","24cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"245","24.5cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"250","25cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"255","25.5cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"260","26cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"265","26.5cm","3088","フラットシューズ","レディースファッション/靴・シューズ"
"270","27cm以上","3088","フラットシューズ","レディースファッション/靴・シューズ"
"1","XS以下","3200","ショーツ","レディースファッション/インナー・ルームウェア"
"2","S","3200","ショーツ","レディースファッション/インナー・ルームウェア"
"3","M","3200","ショーツ","レディースファッション/インナー・ルームウェア"
"4","L","3200","ショーツ","レディースファッション/インナー・ルームウェア"
"5","XL以上","3200","ショーツ","レディースファッション/インナー・ルームウェア"
"1","XS以下","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"2","S","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"3","M","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"4","L","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"5","XL以上","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"1","XS以下","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
