"名前","グループ名","カテゴリID","カテゴリ名","カテゴリパス"
"長さ","ブレスレット","3129","ブレスレット","レディースファッション/アクセサリー"
"幅","ブレスレット","3130","アンクレット","レディースファッション/アクセサリー"
"長さ","ブレスレット","3130","アンクレット","レディースファッション/アクセサリー"
"フレーム縦","アイウェア","3140","サングラス","レディースファッション/アイウェア"
"フレーム横 ","アイウェア","3140","サングラス","レディースファッション/アイウェア"
"レンズ縦","アイウェア","3140","サングラス","レディースファッション/アイウェア"
"レンズ横","アイウェア","3140","サングラス","レディースファッション/アイウェア"
"テンプル","アイウェア","3140","サングラス","レディースファッション/アイウェア"
"フレーム縦","アイウェア","3141","メガネ","レディースファッション/アイウェア"
"フレーム横 ","アイウェア","3141","メガネ","レディースファッション/アイウェア"
"レンズ縦","アイウェア","3141","メガネ","レディースファッション/アイウェア"
"レンズ横","アイウェア","3141","メガネ","レディースファッション/アイウェア"
"テンプル","アイウェア","3141","メガネ","レディースファッション/アイウェア"
"フレーム縦","アイウェア","3142","アイウェアその他","レディースファッション/アイウェア"
"フレーム横 ","アイウェア","3142","アイウェアその他","レディースファッション/アイウェア"
"レンズ縦","アイウェア","3142","アイウェアその他","レディースファッション/アイウェア"
"レンズ横","アイウェア","3142","アイウェアその他","レディースファッション/アイウェア"
"テンプル","アイウェア","3142","アイウェアその他","レディースファッション/アイウェア"
"幅","マフラー・スカーフ","3161","スカーフ","レディースファッション/ファッション雑貨・小物"
"長さ","マフラー・スカーフ","3161","スカーフ","レディースファッション/ファッション雑貨・小物"
"幅","マフラー・スカーフ","3162","マフラー・ストール","レディースファッション/ファッション雑貨・小物"
"長さ","マフラー・スカーフ","3162","マフラー・ストール","レディースファッション/ファッション雑貨・小物"
"手首周り","手袋","3163","手袋","レディースファッション/ファッション雑貨・小物"
"全長","手袋","3163","手袋","レディースファッション/ファッション雑貨・小物"
"ウエスト","ベルト","3164","ベルト","レディースファッション/ファッション雑貨・小物"
"幅","ベルト","3164","ベルト","レディースファッション/ファッション雑貨・小物"
"全長","ベルト","3164","ベルト","レディースファッション/ファッション雑貨・小物"
"縦","財布系","3169","長財布","レディースファッション/財布・小物"
"横","財布系","3169","長財布","レディースファッション/財布・小物"
"厚み","財布系","3169","長財布","レディースファッション/財布・小物"
"幅","バッグ持ち手なし","3170","ポーチ","レディースファッション/財布・小物"
"高さ","バッグ持ち手なし","3170","ポーチ","レディースファッション/財布・小物"
"マチ","バッグ持ち手なし","3170","ポーチ","レディースファッション/財布・小物"
"ヒップ","下着女性ショーツ","3200","ショーツ","レディースファッション/インナー・ルームウェア"
"着丈","トップス袖なし","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"胸囲","トップス袖なし","3201","スリップ・インナー・キャミ","レディースファッション/インナー・ルームウェア"
"トップ","下着女性ブラジャー","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
"アンダー","下着女性ブラジャー","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
"ヒップ","下着女性ブラジャー＆ショーツ","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"トップ","下着女性ブラジャー＆ショーツ","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"アンダー","下着女性ブラジャー＆ショーツ","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"着丈","ワンピース系","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"肩幅","ワンピース系","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"胸囲","ワンピース系","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"袖丈","ワンピース系","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"ウエスト","ワンピース系","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
